R01,R02,R03,RB,R10_12,R13_15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31_32,R33,RD,R36,R37_39,RF,R45,R46,R47,R49,R50,R51,R52,R53,RI,R58,R59_60,R61,R62_63,R64,R65,R66,R68B,R68A,R69_70,R71,R72,R73,R74_75,R77,R78,R79,R80_82,R84,RP,R86,R87_88,R90_92,R93,R94,R95,R96,RT
29.372,2.626,93.93,2052.871,731.248,56.495,134.876,83.376,49.195,0,0,730.017,73.022,169.689,313.274,238.684,196.124,129.556,390.156,81.168,242.199,146.204,303.604,347.735,7.053,114.184,1543.56,246.238,1880.149,1332.014,411.563,190.772,590.674,343.847,71.145,3009.183,381.356,182.021,279.155,838.417,551.879,34.335,188.04,300.605,1.455,529.074,683.247,121.865,129.141,153.056,120.386,190.245,6384.527,297.074,2520.427,635.807,815.774,1146.312,494.705,175.135,339.172,14.402,44.089,0
22.865,1.113,24.687,106.725,80.57,9.832,14.989,8.698,91.485,0,0,66.483,7.675,20.022,24.521,22.514,19.827,18.675,31.24,6.572,22.591,21.452,44.907,62.224,11.436,62.984,442.019,1177.137,2373.656,2105.908,142.168,15.11,344.161,282.532,32.524,367.743,2839.419,300.316,1483.356,13247.996,1091.05,31.484,365.908,773.732,0.344,646.354,2540.045,228.93,710.972,470.683,1190.581,171.515,127.199,1089.598,1294.802,2184.288,233.466,376.712,899.733,124.738,1298.569,10.626,57.627,0
13.475,1.053,33.647,260.069,180.708,13.024,34.544,19.448,8.257,0,0,135.334,15.488,46.96,50.224,37.521,28.088,28.625,73.099,11.735,30.616,33.524,57.868,181.897,23.286,137.562,520.905,133.275,1102.3,800.263,183.912,15.71,345.424,490.441,49.443,196.051,355.322,2854.374,278.67,1926.528,56.581,7.773,78.135,491.382,0.792,280.68,695.215,86.27,1232.394,109.566,188.721,154.623,30.722,1006.834,472.758,424.575,172.487,194.933,96.115,35.01,104.577,6.126,73.55,0
116.754,1.902,81.37,562.762,332.216,28.213,60.916,23.592,15.243,0,0,233.489,23.486,57.849,92.595,76.548,59.972,53.753,173.525,25.269,71.88,57.517,99.75,478.969,56.453,379.376,1058.437,267.621,1772.618,1090.061,1743.925,2729.72,91.929,965.762,64.629,292.528,477.429,221.742,17287.204,1091.488,663.009,7.778,173.001,1165.179,5.685,662.106,1832.994,184.518,222.406,279.639,464.843,406.864,74.323,608.495,1233.761,324.469,340.734,426.288,164.725,66.969,202.094,13.425,60.049,0
23.353,3.552,124.226,1122.193,655,56.759,120.737,47.023,30.534,0,0,472.478,46.216,113.55,177.796,153.064,120.079,104.89,350.877,49.474,150.307,115.328,193.746,2091.789,116.817,782.426,2109.411,550.575,4415.37,3106.257,530.971,59.808,209.894,4899.738,132.251,617.713,1500.605,432.471,3074.801,4395.964,8056.737,1114.756,1162.48,2331.765,3.046,1361.671,6136.417,429.294,1903.325,571.747,940.459,844.067,156.048,1249.353,5148.7,912.344,4699.891,984.088,525.681,138.356,414.883,27.477,123.83,0
311.068,75.205,810.929,4978.927,2292.615,96.728,306.064,179.411,100.527,0,0,1394.957,140.486,382.96,686.854,498.161,318.751,251.407,638.17,137.943,562.911,210.198,539.164,693.875,12.616,244.267,4745.174,778.403,1921.596,1494.205,1018.097,1342,296.993,1323.039,159.081,806.926,489.157,403.794,637.463,1295.834,14580.102,2443.798,1458.913,1705.841,33067,651.262,1474.709,207.473,382.211,166.824,430.418,301.289,175.195,597.686,8846.741,732.902,862.962,1137.45,538.243,232.93,762.104,25.176,171.842,0
419.488,3.157,239.313,309.232,259.069,17.265,57.41,35.703,18.515,0,0,248.886,28.582,65.389,125.75,94.108,69.779,43.447,112.327,26.145,79.215,50.668,118.214,458.623,27.224,96.375,601.017,68.557,166.422,149.331,366.431,4253.919,193.158,325.001,22.012,158.728,65.931,90.682,36.535,233.091,590.968,13.878,34.385,675.901,930,167.002,372.403,35.596,80.001,33.927,144.347,38.909,14.924,103.298,1612.819,372.83,256.892,509.141,193.696,49.712,206.406,6.131,31.386,0
3.005,1.498,5.115,958.516,463.995,19.412,59.257,35.227,19.67,0,0,278.762,27.635,74.988,136.636,96.836,63.334,49.725,126.328,27.989,109.778,42.429,106.686,132.693,2.598,46.385,911.402,150.295,377.174,282.992,151.715,257.457,57.183,284.118,30.532,152.205,95.65,81.93,122.424,257.858,9387.012,1012.394,255.533,327.638,0,125.418,293.513,40.297,76.951,32.119,81.979,58.811,33.467,115.229,3106.363,121.507,89.6,146.679,77.588,12.6,109.635,0.832,2.513,0
12.6,70.696,0.073,2973.503,1884.343,261.495,373.123,71.569,360.291,0,0,369.768,275.976,385.888,102.362,1056.188,433.567,297.308,773.445,185.705,684.828,345.823,1006.822,565.557,51.965,752.958,5975.279,3406.958,9969.502,15616.297,1063.866,503.379,165.255,2112.392,695.862,8208.887,888.367,438.659,991.413,2011.819,2320.07,66.433,603.874,12283.998,0.072,2441.028,2454.731,468.467,338.173,564.711,2201.712,500.818,235.932,1246.991,8136.421,3381.372,2503.667,3293.644,1873.82,1444.518,1104.699,101.354,1122.565,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
